minor_name,minor_reqs
Computer Science Teaching (Minor),"Licensure: This program meets the educational requirements designed to lead to an occupationally required professional license or certificate in the state of Utah. Students pursuing occupations requiring a license or certificate in a state other than Utah should contact the appropriate BYU academic advisement center as well as the licensing agency in the state where they intend to work to seek information and guidance regarding licensure and certification requirements.
This minor is designed to prepare students to teach in public schools. A teaching minor may only be received by students graduating with a teaching major. In order to graduate with this minor, students are required to complete Utah State Office of Education licensing requirements. To view these requirements go to https://www.schools.utah.gov/curr/licensing or contact the Education Advisement Center, 350 MCKB, 801-422-3426.
For students accepted into the major after December 16, 2019, grades below C in any required coursework in a teaching major or teaching minor will not be accepted. Teacher candidates must maintain a cumulative GPA of 2.7 or higher once admitted into the program and to qualify for student teaching. For additional details on admission and retention requirements for teaching majors and teaching minors, see Educator Preparation Program Requirements in the Undergraduate Catalog.
Requirement 1 — Complete 6 Courses
C S 111 - Intro to Computer Science 3.0
C S 224 - Computer Systems 3.0
C S 235 - Data Structures 3.0
C S 236 - Discrete Structure 3.0
C S 240 - Adv Software Construction 4.0
TES 377 - Tchg Mthds in Technology Educ 2.0
Requirement 2 — Complete 1 Course
C S 477R - Sec Minor Student Teaching - You may take once 4.0
FBI fingerprinting and background clearance must be completed."
Contemporary Dance (Minor),"Requirement 1 — Complete 2 hours
Before being accepted into the minor, a student must complete with a grade of B- or better.
DANCE 241R - Contemp Mdrn, Tech & Theory 2 - You may take once 2.0
The Dance Department requires a minimum of 10.5 hours to be completed in residency at BYU for this minor program. These hours may also go toward BYU's 30-hour residency requirement for graduation.
Requirement 2 — Complete 5 Courses
Core courses:
DANCE 243R - Std Workshop Cont Mdrn Dance - You may take once 2.5
DANCE 244R - Beginning Creative Processes - You may take once 1.0
DANCE 261- Freshman Seminar in Dance 1.0
DANCE 362 - Cont Mdrn Dnce Choreo Interm 2.0
DANCE 363R - Dance Improvisation, Interm - You may take once 1.0
Requirement 3 — Complete 1 of 3 Courses
You may take 365, 366, 367 only once
DANCE 365 - Creative Dance Elementary Edu 2.0
DANCE 366 - Tchg Mthds of Mdrn & Cont Dnce 2.0
DANCE 367 - MthdsTchg Chld Creative Dance 2.0
Requirement 4 — Complete 3 of 12 Courses
Note: R-suffix courses may not be taken more than once for minor credit.
DANCE 264 - Music for Dancers 2.0
DANCE 340R - Cont Modrn Tech & Theory 3 2.5v
DANCE 343 - Principles of Somatics 2.0
DANCE 348R - Kinnect - 2.0v
DANCE 351 - Laban Movement Analysis 2.0
DANCE 358 - Dance and Film 2.0
DANCE 365 - Creative Dance Elementary Edu 2.0
DANCE 366 - Tchg Mthds of Mdrn & Cont Dnce 2.0
DANCE 367 - MthdsTchg Chld Creative Dance 2.0
DANCE 368R - DancEnsemble - 2.0v
DANCE 462R - Choreo, Adv 2.0
DANCE 468R - Contemporary Dance Theatre 3.0"
Creative Writing (Minor),"Note: English majors in the creative-writing track cannot also pursue a creative writing minor. English majors in a non-creative-writing track may count up to 9 credits of their Creative Writing minor coursework toward English major requirements. Non--English major students are strongly encouraged to take ENGL 303 and at least one additional 300-level English literature seminar. See the English Department for further information.
Requirement 1 — Complete 2 Courses
ENGL 218 - Creative Writing 3.0
ENGL 321R - English Dept Reading Series - You may take once 1.0
Requirement 2 — Complete 2 of 10 Courses
ENGL 201 - Masterpieces of World Lit 1 3.0
ENGL 202 - Masterpieces of World Lit 2 3.0
ENGL 230 - Studies in Literature 3.0
ENGL 232 - Shakespeare 3.0
ENGL 235 - Studies in American Literature 3.0
ENGL 236 - Studies in British Literature 3.0
ENGL 238 - The Bible as Literature 3.0
ENGL 268 - Literature of the LDS 3.0
ENGL 337R - Studies in Lit Form and Genre 3.0
ENGL 420 - Young Adult Literature 3.0
Requirement 3 — Complete 2 of 5 Courses
ENGL 306 - Travel Writing 3.0
ENGL 317R - Writing Creative Nonfiction - You may take 2 times 3.0
ENGL 318R - Writing Fiction - You may take 2 times 3.0
ENGL 319R - Writing Poetry - You may take 2 times 3.0
ENGL 320R - Writing for Child & Adolescent - You may take 2 times 3.0
Requirement 4 — Complete 1 of 3 Courses
ENGL 417 - Creative Wrtg Cap: Nonfiction 3.0
ENGL 418 - Creative Wrtg Cap: Fiction 3.0
ENGL 419 - Creative Wrtg Cap: Poetry 3.0"
Cultural Dance (Minor),No requirements listed for this program.
Design Thinking (Minor),No requirements listed for this program.
Digital Humanities and Technology (Minor),No requirements listed for this program.
Dual-Language Immersion K-12 Teaching (Minor),No requirements listed for this program.
Economics (Minor),
Editing (Minor),"Requirement 1 — Complete 1 of 2 Courses
ELING 223 - Intro to English Language 3.0
LING 201 - Intro to Linguistics (Modern) 3.0
Requirement 2 — Complete 6 Courses
DIGHT 230 - Intro to Print Publishing 3.0
ELING 322 - Modern American Usage 3.0
ELING 325 - Grammar of English 3.0
ELING 350 - Basic Editing Skills 3.0
ELING 410R - Genre & Substantive Editing - You may take once 3.0
ELING 430R - Editing for Publication - You may take up to 3.0 credit hours 3.0"
English (Minor),"Requirement 1 — Complete 2 Courses
ENGL 203 - Ways of Reading 3.0
ENGL 303 - Writing Literary Criticism 3.0
Requirement 2 — Complete 12 hours
Note: Students should take the corresponding Literary History course (ENGL 291, 292, 293, or 294) prior to the corresponding period course (ENGL 369R, 370R, 386R, 387R, 388R, 389R), as indicated by the course prerequisites.
ENGL 218 - Creative Writing 3.0
ENGL 291 - British Literary History 1 3.0
ENGL 292 - British Literary History 2 3.0
ENGL 293 - American Literary History 3.0
ENGL 294 - Transatlantic Literary History 6.0
ENGL 300R - Brit Liter in Cultural Setting - You may take once 0.5v
ENGL 302 - Writing with Style 3.0
ENGL 306 - Travel Writing 3.0
ENGL 317R - Writing Creative Nonfiction - You may take once 3.0
ENGL 318R - Writing Fiction - You may take once 3.0
ENGL 319R - Writing Poetry - You may take once 3.0
ENGL 320R - Writing for Child & Adolescent - You may take once 3.0
ENGL 321R - English Dept Reading Series - You may take once 1.0
ENGL 322 - Rhetorical Foundations 3.0
ENGL 323 - Professional Writing 3.0
ENGL 325 - Visual Communication 3.0
ENGL 326 - Digital Communication 3.0
ENGL 327R - Studies in Rhetoric - You may take once 3.0
ENGL 328R - Studies in Composing - You may take once 3.0
ENGL 335 - Professional Speaking 3.0
ENGL 337R - Studies in Lit Form and Genre - You may take once 3.0
ENGL 338 - Literary Studies of the Bible 3.0
ENGL 340 - Book and Publishing History 3.0
ENGL 344R - Digital and Visual Literacies - You may take once 3.0
ENGL 345 - Literature & Film 3.0
ENGL 355 - Classics & the Engl Tradition 3.0
ENGL 356 - Myth, Legend, & Folktale 3.0
ENGL 357R - Literature, Ethics, and Values - You may take once 3.0
ENGL 367R - American Regional Literature - You may take once 3.0
ENGL 368 - Lit of the Latter-day Saints 3.0
ENGL 369R - Transnational Lit before 1800 - You may take once 3.0
ENGL 370R - Transnational Lit after 1800 - You may take once 3.0
ENGL 384R - Author Studies - You may take once 3.0
ENGL 386R - British Literature before 1800 - You may take once 3.0
ENGL 387R - British Literature after 1800 - You may take once 3.0
ENGL 388R - American Lit before 1800 - You may take once 3.0
ENGL 389R - American Literature after 1800 - You may take once 3.0
ENGL 391 - Introduction to Folklore 3.0
ENGL 392 - American Folklore 3.0
ENGL 395R - Studies in Literature - You may take once 3.0
ENGL 396R - Studies in Women's Lit - You may take once 3.0
ENGL 397R - World Literatures in English - You may take once 3.0
ENGL 420 - Young Adult Literature 3.0
ENGL 450R - Studies in Lit Crit and Theory - You may take once 3.0"
English Teaching (Minor),"Licensure: This program meets the educational requirements designed to lead to an occupationally required professional license or certificate in the state of Utah. Students pursuing occupations requiring a license or certificate in a state other than Utah should contact the appropriate BYU academic advisement center as well as the licensing agency in the state where they intend to work to seek information and guidance regarding licensure and certification requirements.
This minor is designed to prepare students to teach in public schools. A teaching minor may only be received by students graduating with a teaching major. In order to graduate with this minor, students are required to complete Utah State Office of Education licensing requirements. For questions about these requirements, contact the Education Advisement Center, 350 MCKB, 801-422-3426.
For students accepted into the major after December 16, 2019, grades below C in any required coursework in a teaching major or teaching minor will not be accepted. Teacher candidates must maintain a cumulative GPA of 2.7 or higher once admitted into the program and to qualify for student teaching. For additional details on admission and retention requirements for teaching majors and teaching minors, see Educator Preparation Program Requirements in the Undergraduate Catalog.
Requirement 1 — Complete 1 Course
Prerequisite course:
ENGL 203 - Ways of Reading 3.0
Requirement 2 — Complete 8 Courses
ENGL 232 - Shakespeare 3.0
ENGL 292 - British Literary History 2 3.0
ENGL 293 - American Literary History 3.0
ENGL 329 - Tchg Grammar & Usage 3.0
ENGL 377 - Tchg English in Secndry Schls 3.0
ENGL 378 - Teaching Literature & Reading 3.0
ENGL 420 - Young Adult Literature 3.0
ENGL 423 - Tchg Composition in Sec Schl 3.0
Requirement 3 — Complete 1 of 3 Courses
ENGL 337R topic must be Short Story, Studies in Nonfiction; Fiction, or Studies in Poetry.
ENGL 235 - Studies in American Literature 3.0
ENGL 337R - Studies in Lit Form and Genre 3.0
ENGL 389R - American Literature after 1800 3.0
Requirement 4 — Complete 1 Course
ENGL 477R - Sec Minor Student Teaching 4.0"
Entrepreneurship (Minor),"Requirement 1 — Complete 2 Courses
ENT 101 - Intro to Entrepreneurship 3.0
ENT 113 - Startup Bootcamp 1.0
Requirement 2 — Complete 3 hours
ACC 200 - Principles of Accounting 3.0
EXDM 300 - Creating a Good Life 3.0
FIN 201 - Principles of Finance 3.0
GSCM 201 - Intro Global Supply Chain Mgt 1.5
GSCM 211 - Intro to GSCM International 1.5
IS 201 - Intro to Information Systems 3.0
MKTG 201 - Marketing Management 3.0
MSB 201 - Introduction to Business  3.0
MSB 341 - Product Management 3.0
Requirement 3 — Complete 1 of 5 Courses
ENT 300 - Starting a Business 3.0
ENT 301 - Business Model Validation 3.0
ENT 302 - Legal Issues in Entrep 3.0
ENT 401 - Entrepreneurial Innovation 3.0
ENT 427 - Building Your Lean Venture 3.0
ENT 431 - Innovation Practicum 3.0
ENT 432 - Commercializing Innovation 3.0
ENT 441 - Rapid Product Innovation & Development 1.5
ENT 442 - Rapid Ideation & Team Formation 1.5
MSB 341 - Product Management 3.0
Requirement 4 — Complete 1 hour
ENT 381 - Entrep Lecture Series 1.0
ENT 382 - Tech Entrep Lecture Series 1.0
MSB 342 - Product Career Lecture Series 1.0
MSB 381R - Social Impact Lecture Series 1.0
Requirement 5 — Complete 6 hours
Courses used to fulfill Requirement 3 cannot be used to fill this requirement.
ART 340 - Business Practices for Artists 3.0
CH EN 400 - Creative Skill Chem Engr 1.0
DES 217 - Design Thinking 1.5
DESGD 488 - Studio Practices for Designers 2.0
DESIL 488 - Prof Practices for Illustrator 2.0
ENT 300 - Starting a Business 3.0
ENT 301 - Business Model Validation 3.0
ENT 302 - Legal Issues in Entrep 3.0
ENT 323 - Entrep Sales & Persuasion 3.0
ENT 422 - Managing New Ventures 3.0
ENT 425 - VC for Startups
ENT 427 - Building your Lean Venture
ENT 431 - Innovation Practicum 3.0
ENT 432 - Commercializing Innovation 3.0
ENT 434R - New Venture LaunchPad - You may take once 3.0
ENT 441 - Rapid Product Innovation & Development 1.5
ENT 442 - Rapid Ideation & Team Formation 1.5
ENT 490R - Topics in Entrepreneurship - You may take once 0.5v
EXDM 300 - Creating a Good Life 3.0
IP&T 461 - Design Evaluation 3.0
MFGEN 479 - Innovation & Entrepreneurship 3.0
MSB 341 - Product Management 
MSB 375 - Social Impact 3.0
MUSIC 286 - Intro to Music Bus 2.0
SFL 488R - Home-Based Entrepre - You may take once 1.0
SOC 321 - Sociology of Innovation 3.0"
Environmental Science and Sustainability (Minor),"Requirement 1 — Complete 2 Courses
PWS 150 - Environmental Biology 3.0
Requirement 2 — Complete 1 of 2 Courses
PWS 375 - Aquatic Policies & Laws 3.0
PWS 385 - Terrestrial Policies and Laws 3.0
Requirement 3 — Complete 6 hours
Environmental Science and Core Courses: Students may enroll in PWS 494R more than once for a total of 3.0 credit hours
PWS 282 - Soil Science 3.0
PWS 283 - Soil Science Lab 1.0
PWS 305 - Watershed Ecology 3.0
PWS 306 - Watershed Ecology Lab 1.0
PWS 365 - Biogeochem 3.0
PWS 366 - Biogeochem Lab 1.0
PWS 440 - Plant Physiological Ecology 3.0
PWS 480 - Environmental Capstone 3.0
PWS 494R - Mentored Learning Experience - You may take once 0.5v
Requirement 4 — Complete 6 hours
Sustainability Core Courses:
BIO 370 - Bioethics 2.0
GEOG 210 - Intro to City Planning 3.0
GEOG 410 - Urban Planning Methods 3.0
HIST 290 - Nature & History 3.0
HLTH 322 - Environmental Health 3.0
IAS 220 - Intro Devel Stu 3.0
IHUM 280R - Humanities & the Environment - You may take once 3.0
MSB 375 - Social Impact 3.0
POLI 325 - Pol of Wilds, Parks, & Lands 3.0
PWS 110 - Sustainable Food Crop Systems 3.0
PWS 180 - Global Climate Change 3.0
PWS 417 - Rangeland Planning & GIS 3.0
PWS 420 - Intl Agricultural Development 3.0"
European Studies (Minor),"Requirement 1 — Complete 1 of 45 Courses
Complete the GE Languages of Learning requirement in a European language.
ALBAN 330 - Adv Lang & Cult: Albanian 3.0
BASQ 330 - Adv Lang & Cult: Basque 3.0
BULGN 330 - Cultural History of Bulgaria 3.0
CATLN 330 - Adv Lang & Cult: Catalan 3.0
CROAT 330 - Adv Lang & Cult: Croatian 3.0
CZECH 330 - Cultural History of Czech 3.0
DANSH 202 - 2nd-Year Danish 4.0
DANSH 340 - Danish Literature 3.0
DUTCH 340 - Intro to Dutch Literature 3.0
ESTON 330 - Adv Lang & Cult: Estonian 3.0
FINN 202 - 2nd Year Finnish 4.0
FINN 340 - Finnish Literature 3.0
FREN 202 - Intermediate French, Part 2 3.0
FREN 340 - Intro to Literary Analysis 3.0
GERM 301 - German Cultural History 3.0
GERM 202 - 2nd-Year German 4.0
GREEK 301 - Classical Greek Poetry 3.0
GREEK 302 - Classical Greek Prose 3.0
HUNG 330 - Cultural History of Hungary 3.0
ICLND 202 - 2nd Year Icelandic 4.0
ICLND 429 - Old Icelandic Lang &Literature 3.0
ITAL 202 - Intermediate Italian 2 3.0
ITAL 340 - Intro to Italian Literature 3.0
LATIN 301 - Classical Latin Poetry 3.0
LATIN 302 - Classical Latin Prose 3.0
NORWE 202 - 2nd-Year Norwegian 4.0
NORWE 340 - Norwegian Literature 3.0
POLSH 202 - 2nd Year Polish 4.0
POLSH 330 - Cultural History of Poland 3.0
PORT 202 - Port Reading & Comprehension 4.0
PORT 345 - Cultures of Portugal 3.0
PORT 355 - Cultures of Brazil 3.0
ROM 340 - Intro toRomanian Liter&Culture 3.0
RUSS 202 - 2nd Year Russian Part 2 5.0
RUSS 330 - Cultural History of Russia 3.0
SLN 330 - Adv Lang & Cult: Slovene 3.0
SPAN 205 - University Spanish 3 4.0
SPAN 321 - 3rd-Yr Span Read, Gram, & Cult 3.0
SPAN 345 - Cultures of Spain 3.0
SPAN 355 - Cultures of Spanish America 3.0
SRBIA 330 - Adv Lang & Cult: Serbian 3.0
SWED 202 - 2nd-Year Swedish 4.0
SWED 340 - Swedish Literature 3.0
UKRAI 330 - Cultural History of Ukraine 3.0
WELSH 330 - Adv Lang & Cult: Welsh 3.0
Requirement 2 — Complete 3 Courses
EUROP 200 - Intro to European Studies 3.0
EUROP 320R - European Lit, Art, and Culture - You may take once 3.0
HIST 250 - Europe 1500-Present 3.0
Requirement 3 — Complete 6 hours
Note: Other Europe-related courses may be used here with European Studies coordinator's approval.
ALBAN 330 - Adv Lang & Cult: Albanian 3.0
ANTHR 376 - Arch of Ancient Aegean&Greece 3.0
ANTHR 385 - Archaeology of Europe 3.0
ARMEN 330 - Adv Lang & Cult: Armenian 3.0
ARTHC 301 - Women in Art 3.0
ARTHC 306 - Roman Art 3.0
ARTHC 310 - Early Christian&Byzantine Art 3.0
ARTHC 316 - Art of the Medieval West 3.0
ARTHC 320 - Italian Renaissance 3.0
ARTHC 325 - Northern Renaissance 3.0
ARTHC 329 - Ren & Baroque Arch 3.0
ARTHC 330 - Southern Baroque Art 3.0
ARTHC 335 - Northern Baroque Art 3.0
ARTHC 337- 18th-Century European Art 3.0
ARTHC 340 - 19th C Europe Art 3.0
ARTHC 350 - Modern Art 3.0
ARTHC 355 - Contemporary Art 3.0
BULGN 330 - Cultural History of Bulgaria 3.0
CL CV 110 - Intro to Greek & Roman Lit 3.0
CL CV 241 - Greek&Roman Mythology 3.0
CL CV 246 - Golden Age of Rome 3.0
CL CV 304 - Greek History 3.0
CL CV 307 - Roman History 3.0
CROAT 330 - Adv Lang & Cult: Croatian 3.0
CZECH 330 - Cultural History of Czech 3.0
DANCE 174 - Irish Dance, Beginning 1.0
DANCE 273R - Hungarian Dance Tech1- You may take once  1.0
DANCE 274R - Irish Dance Tech 1- You may take once  1.0
DANCE 277 - Spanish Dance Tech 1 1.0
DANCE 278 - Ukrainian Dance Tech 1 1.0
DANSH 340 - Danish Literature 3.0
DUTCH 330- Adv Lang & Cult: Dutch 3.0
ECON 257 - Intrnl Trade & Fin 3.0
ENGL 232 - Shakespeare 3.0
ENGL 236 - Studies in British Literature 3.0
ENGL 291 - British Literary History 1 3.0
ENGL 292 - British Literary History 2 3.0
ENGL 300R - Brit Liter in Cultural Setting - You may take once 0.5v
ENGL 386R - British Literature before 1800 - You may take once  3.0
ENGL 387R - British Literature after 1800 - You may take once 3.0
EUROP 330 - European Culture and Society  3.0
EUROP 336R - Soc Sciences: European Context - You may take once 0.5v
EUROP 337R - Humanities: European Context- You may take once  0.5v
EUROP 490R - Senior Seminar - You may take once 3.0
FINN 330 - Third Year Finnish 3.0
FINN 340 - Finnish Literature 3.0
FNART 270R - Global Arts - You may take once 0.5v
FREN 202Intermediate French, Part 2 3.0
FREN 317 (Fren-Ital) French and Italian Cinema 3.0
FREN 340 Introduction to Literary Analysis 3.0
FREN 361 French Civilization from the Beginning to 1715 3.0
FREN 362 French Civilization from 1715 to the Present 3.0
FREN 363 Contemporary France and the Francophone World 3.0
GEOG 260 - Europe 3.0
GEOG 341-Political Geography 3.0
GERM 202 Second-Year German 4.0
GERM 217 (Germ-Scand) German and Scandinavian Cinema 3.0
GERM 301 German Cultural History 3.0
GERM 302 Germany in the 20th Century 3.0
GERM 303 Germany Today 3.0
GERM 343 Introduction to German Literature 3.0
GERM 340 Writing about Literature 3.0
GERM 346 Art and Architecture in German-Speaking Europe 3.0
GERM 440R Topics in German Literature, Film and Culture 3.0
GERM 441R Topics in German Literature, Film and Culture (taught in English) 3.0
GERM 450 History of the German Language 3.0
GREEK 301 Classical Greek Poetry: Homer’s Iliad 3.0
GREEK 302 Classical Greek Prose 3.0
GSCM 411 - Global Business Negotiations 3.0
GWS 350- Medieval European Women Writers 3.0
GWS 352- Modern European Women Writers 3.0
GWS 358- The Gendered Camera: Women and World Cinema 3.0
GWS 351- Early Modern European Women Writers 3.0
HIST 232 - Intro to Hist of Christianity 3.0
HIST 292 - Food & History 3.0
HIST 293 - WW II in History & Memory 3.0
HIST 294 - Age of French Revolution 3.0
HIST 300 - Early Middle Ages 3.0
HIST 301 - Late Middle Ages 3.0
HIST 302 - Italian Renaissance 3.0
HIST 303 - Reformation: Age of Turmoil 3.0
HIST 305 - Age of Enlightnmnt 3.0
HIST 306 - 19th Cent Europe 3.0
HIST 307 - Europe Since 1914 3.0
HIST 308 - The Mediterranean 3.0
HIST 309 - Euro Revolutions Since 1500 3.0
HIST 311- History of Film, Radio, & TV 3.0
HIST 312 - History of Ideas 3.0
HIST 313 - Strategy in Peace and War 3.0
HIST 314 - Fascism & Nazism, 1914-present 3.0
HIST 315 - Jews & Holocaust 3.0
HIST 318 - European Women's History 3.0
HIST 319 - Family in Europe 3.0
HIST 324-France 3.0
HIST 325-Spain 3.0
HIST 327-Italy in the Modern World Since 1848 3.0
HIST 328-Modern Germany 3.0
HIST 330- The Russian Empire Under the Romanovs 3.0
HIST 331-Soviet Union and Post-Soviet Russia 3.0
HIST 332-Scandinavian History 3.0
HUNG 330- Cultural History of Hungary 3.0
IAS 301R-Kennedy Center Lecture Series 1.0
IAS 302R-Seminar in International Studies 1.0
IAS 399R - Academic Internship - You may take once 0.5v
ICLND 202- Second-Year Icelandic 4.0
ICLND 429- Old Icelandic Language and Literature 3.0
ICS 290R- International Cinema 1.5
ITAL 202- Intermediate Italian 2 3.0
ITAL 317- (Fren-Ital) French and Italian Cinema 3.0
ITAL 340- Introduction to Italian Literature 3.0
ITAL 360- Italian Civilization from the Beginning to 1600 3.0
ITAL 361- Italian Civilization from 1600 to the Present 3.0
ITAL 446- Multicultural Italy 3.0
ITAL 449R Studies in Cultural History 3.0
ITAL 460 Dante's Divine Comedy 3.0
LATIN 302 Classical Latin Prose 3.0
LATIN 434 Plautus and Terence 3.0
MKTG 416 - International Marketing 3.0
MSB 430 - Intro International Business 3.0
MSB 432-International Business and Culture 3.0
MSB 596R- Business Language 3.0
MUSIC 101 Introduction to Music 3.0
MUSIC 201 Civilization: Music 1 3.0
MUSIC 202 Civilization: Music 2 3.0
NORWE 202 Second Year Norwegian 4.0
NORWE 330 Advanced Norwegian 3.0
NORWE 340 - Norwegian Literature 3.0
POLI 170- Introduction to International Politics 3.0
POLI 341 - European Politics 3.0
POLI 344- Comparative Political Econ 3.0
POLI 347 - Russia/Former Soviet Politics 3.0
POLI 351 - British Government & Politics 3.0
POLI 384 - International Relations of Europe 3.0
POLI 472-International Political Economy of Women 3.0
POLSH 330 Cultural History of Poland 3.0
PORT 321 Third-Year Portuguese Reading, Grammar, and Culture 3.0
PORT 330 Introduction to Portuguese and Brazilian Literature 3.0
PORT 345 - Cultures of Portugal 3.0
PORT 437R Women Writers in Portuguese 3.0
PSYCH 210 History of Psychology 3.0
REL C 352 -Survey of Christianity 2.0
ROM 330 Advanced Language Proficiency Through Cultural Studies: Romanian 3.0
RUSS 202 Second-Year Russian, Part 2 5.0
RUSS 303 Intermediate Russian Part 2 2.0
RUSS 330 Cultural History of Russia 3.0
RUSS 340 Masterpieces of the Russian Novel in English 3.0
RUSS 341 Dostoevsky’s Major Works in Translation 3.0
RUSS 342 Tolstoy’s Major Works in Translation 3.0
RUSS 343 Masterpieces of Russian Film 3.0
RUSS 344 Historical Survey of Russian Arts and Letters 3.0
RUSS 441 Masterpieces of Russian Literature 1 3.0
RUSS 442 Masterpieces of Russian Literature 2 3.0
RUSS 492R Senior Seminar: Passages and Conclusions 2.0
SCAND 217 (Scand-Germ) German and Scandinavian Cinema 3.0
SCAND 429 Old Norse 3.0
SCAND 490R Seminar in Scandinavian Studies v.05
SFL 328 History of Interior Design and Architecture 1 3.0
SFL 329 History of Interior Design and Architecture 2 3.0
SOC 323 -Sociology of Race and Ethnicity 3.0
SOC 340 -Sociology of International Development 3.0
SOC 345 - World Populations 3.0
SOC 367-Sociology of Gender 3.0
SPAN 205 University Spanish 3 3.0
SPAN 321 Third –Year Spanish Reading, Grammar, and Culture 3.0
SPAN 341 Survey of Literature of Spain 3.0
SPAN 345 - Cultures of Spain 3.0
SPAN 438 Hispanic Cinema 3.0
SPAN 448R Twentieth-Century Spanish Literature 3.0
SRBIA 330 Advanced Language Proficency Through Cultural Studies: Serbian 3.0
SWED 340 - Swedish Literature 3.0
UKRAI 330 Cultural History of Ukraine 3.0"
Family History - Genealogy (Minor),"Requirement 1 — Complete 3 Courses
Note: Minors should consult with the family history coordinator soon after declaring. Note: Hist 205 may be used as partial fulfillment of the University Core Religion requirement.
HIST 205 - Intro Fam Hist Doctr Prac 2.0
HIST 217 - Family Historian's Craft 3.0
HIST 218 - Fam & Law in Amer Hist 3.0
Requirement 2 — Complete 1 of 3 Courses
HIST 280 - N US Family History Research 3.0
HIST 281 - S US Family History Research 3.0
HIST 282 - Colonial US Fam Hist Research 3.0
Requirement 3 — Complete 1 of 11 Courses
HIST 298 - Digital History 3.0
HIST 350 - English Language Paleography 3.0
HIST 351 - German Language Paleography 3.0
HIST 352 - Scand Languages Paleography 3.0
HIST 353 - Romance Languages Paleography 3.0
HIST 354 - Russian Language Paleography 3.0
HIST 381 - Computers in Hist Rsrch & Publ 3.0
HIST 388 - Genetic Genealogy 3.0
HIST 396 - Hist Narrative: Wrtg Wkshp 3.0
HIST 420 - Latin Paleography 3.0
HIST 431 - Public History 3.0
Requirement 4 — Complete 3 hours
(Note: Courses used for Requirements 2 and 3 will not double count) (Note: Students may complete 3 credit hours of Hist 206R: Regional and Thematic Studies in Family History/Genealogy to fill this requirement.)
HIST 206R - Regional and Thematic Fam Hist - You may take up to 3.0 credit hours 1.0
HIST 280 - N US Family History Research 3.0
HIST 281 - S US Family History Research 3.0
HIST 282 - Colonial US Fam Hist Research 3.0
HIST 283 - British Fam Hist Research 3.0
HIST 284 - German Family History 3.0
HIST 285 - Scandinavian Family History 3.0
HIST 286 - S Europ/Latin Amer Family Hist 3.0
HIST 287 - East European Family History 3.0
HIST 298 - Digital History 3.0
HIST 350 - English Language Paleography 3.0
HIST 351 - German Language Paleography 3.0
HIST 352 - Scand Languages Paleography 3.0
HIST 353 - Romance Languages Paleography 3.0
HIST 354 - Russian Language Paleography 3.0
HIST 381 - Computers in Hist Rsrch & Publ 3.0
HIST 388 - Genetic Genealogy 3.0
HIST 396 - Hist Narrative: Wrtg Wkshp 3.0
HIST 420 - Latin Paleography 3.0
HIST 431 - Public History 3.0
HIST 496R - Acad Internship: Family Hist - You may take up to 3.0 credit hours 1.0v"
